HW01,HW02,HW03,HW04,HW05,HW06,PJ01 ,QZ 01,QZ 02,EX 01,Final,Grade
19,19,20,20,20,20,95,95,100,100,98.93409091,A
10,19.9,19.5,17,12,19,0,98,92,96,79.27181818,C+
18.5,19.5,19.9,19.5,19,0,0,100,95,90,40.50818182,F
18,17.5,17.5,17,15,0,40,82,64,60,53.68181818,F
17.5,18,18,18,15,17,90,92,80,90,88.50227273,B+
19,18,14,18,18,17,80,81,100,77,84.35227273,B
17,19,20,20,17,19,95,88,88,91,92.54090909,A
19,17,17,14,15,19,60,50,64,50,55.32272727,F
16,12,14,16,0,12,50,73,82,65,71.83636364,C
18,18.5,18,18,19,14,85,90,90,82,88.45227273,B+
20,17.5,20,16,16,0,85,63,80,82,74.00681818,C
15,8,4,12,12,14,80,66,52,55,60.48409091,D
17.5,18,16,19.5,17,17,90,87,80,74,83.24545455,B
19.8,19.9,20,19.5,20,19.5,70,100,95,89,90.60863636,A
20,19.5,17,18,19,17,90,74,91,95,91.40681818,A
18,14,5,12,12,10,50,37,10,24,34.15,F
20,14,10,10,15,14,60,25,30,25,29.6780303,F
19,20,20,20,20,20,95,99,95,96,98.16136364,A
15,0,0,12,0,0,0,90,94,74,60.42272727,D
19,19.8,19.5,20,20,19.5,95,100,97,96,97.42090909,A
20,0,2,0,0,0,0,32,50,0,9.036363636,F
20,18,16,17,0,10,0,85,78,51,32.07121212,F
20,17,16,19,16,18,80,79,86,89,79.80909091,C+
19.8,17,19,19.5,10,17,80,51,81,70,68.83909091,D+
19.9,17.5,18,20,16,20,50,85,90,86,83.62636364,B
19,16,17.5,15,0,16,78,72,70,88,74.90454546,C
20,18,19,18,19.5,19.5,60,91,95,90,84.35,B
20,0,17.5,0,0,0,0,92,66,72,31.42545455,F
20,0,14,0,0,15,75,7,25,40,34.09318182,F
12,14,17,14,0,10,0,58,52,42,34.03181818,F
20,16,16,19,18,20,80,72,87,82,82.48181818,B
19.5,16,16,19,12,19.5,75,75,70,73,64.45227273,D
18,16,15,10,15,20,80,30,70,79,80.42045455,B
0,0,18,12,0,0,95,75,91,68,77.85681818,C+
20,19,12,20,17,18,68,85,92,80,82.01515152,B
20,19.5,16,18,17,20,90,93,88,85,87.57727273,B+
20,17,16,18,17,10,95,87,83,90,84.65909091,B
17,5,10,10,10,0,50,39,75,73,60.50681818,D
18,12,0,0,8,15,0,66,62,78,38.34090909,F
20,18,18,18,12,20,50,87,87,92,87.91590909,B+
20,19,19.5,18,18,19.5,90,95,96,94,95.82424242,A
20,15,19.5,20,17,17,80,67,90,80,66.37651515,D+
19,18,20,20,18,20,85,70,80,91,81.95606061,B
16,16,16,18,18,18,40,56,62,42,63.41666667,D
18,19,20,16,19.5,17,85,74,84,92.5,86.35151515,B+
17,19,17,18,18,17,85,84,81,92.5,89.71893939,B+
0,15,17,15,16,14,80,66,79,58,42.73636364,F
19.5,19,19,20,16,17,80,60,86,61,75.82348485,C+
18,19.5,16,19,18,17,80,62,85,84,72.53439394,C
20,18,15,19,0,17,70,60,71,68,66.83484849,D+
18,20,19.5,20,20,19,90,91,100,93,95.01969697,A
19,19,18,18,18,18,80,82,86,78.5,75.325,C+
20,20,20,20,20,20,99,100,97,93,97.335,A
15,19,19,20,17,18,50,88,76,65,71.60757576,C
0,17,19,12,18,0,90,60,65,63,65.60909091,D+
12,16,16,15,0,0,25,48,44,19,22.78939394,F
20,18,18,20,19,19,80,79,98,87.5,70.81439394,C
19,18,19.5,18,17,18,60,60,95,72.5,78.00757576,C+
20,18,19,20,20,19,70,76,85,90,62.04545455,D
20,19.5,19,20,20,19,90,100,100,96,97.04787879,A
20,20,20,20,20,19.5,90,92,100,97,95.39939394,A
18,20,20,20,18,18,99,88,94,97,93.47969697,A
7,6,10,20,18,17,90,9,83,85,54.4719697,F
17,17,0,19,12,15,80,50,68,50,61.75606061,D
20,20,19,20,19,18,90,26,30,51,47.10530303,F
0,18,16,19.5,19,16,85,27,85,93,72.99015152,C
8,19,17,20,20,19,80,24,95,87,58.48484849,F
18,19,19,20,20,18,75,95,82,94,87.18257576,B+
0,0,16,0,0,0,0,29,60,66,26.02121212,F
16,17,12,16,19,18,80,85,87,71,72.75833333,C
18,17,0,0,10,0,80,72,88,67,60.29469697,D
18,10,10,15,0,0,90,78,30,77,80.25606061,B
19,17,16,18,18,18,80,71,80,82,84.24469697,B
20,20,20,20,20,19,95,95,95,97,96.87515152,A
18,20,18,19,19,19,99,92,91,94,93.83272727,A
0,0,0,0,0,0,0,84,0,0,5.6,F
20,20,17,19,12,17,40,53,64,60,54.94469697,F
18,16,15,19,20,18,80,82,61,76.5,62.7969697,D
18,16,13,18,15,19,80,65,74,78,58.62121212,F
19.5,19,20,19.5,19.5,19,90,100,100,90,94.30151515,A
17,18,12,20,17,0,50,73,70,65,65.14393939,D+
20,18,18,20,17,15,90,83,83,96,82.88484849,B
19.5,19,16,18,17,18,20,66,85,81,66.36666667,D+
20,18,19.5,20,18,18,80,94,100,97,91.04181818,A
20,17,17,17,14,18,0,89,93,80,56.20454546,F
20,19,18,20,19,18,99,80,100,97,96.12757576,A
18,17,16,20,17,16,90,80,65,65,67.56363636,D+
19.5,18,16,18,20,18,50,56,81,67,61.99393939,D
19.5,19,19,20,19,18,95,88,90,92,86.51833333,B+
20,19,20,20,19,18,90,64,50,87,73.89393939,C
14,20,16,20,10,17,30,51,80,77.5,70.51287879,C
16,18,15,19.5,14,16,85,71,73,41,49.22424242,F
18,16,17,18,18,18,80,70,96,72,62.76969697,D
18,18,17,18,18,19,90,86,100,90.5,92.3819697,A
19,17,16,20,16,17,90,87,82,77,69.92424242,C
20,19,19.5,18,18,19.5,90,95,96,94,95.82424242,A
20,15,19.5,20,17,17,80,67,90,80,66.37651515,D+
19,18,20,20,18,20,85,70,80,91,81.95606061,B
16,16,16,18,18,18,40,56,62,42,63.41666667,D
18,19,20,16,19.5,17,85,74,84,92.5,86.35151515,B+
17,19,17,18,18,17,85,84,81,92.5,89.71893939,B+
0,15,17,15,16,14,80,66,79,58,42.73636364,F
19.5,19,19,20,16,17,80,60,86,61,75.82348485,C+
18,19.5,16,19,18,17,80,62,85,84,72.53439394,C
20,18,15,19,0,17,70,60,71,68,66.83484849,D+
18,20,19.5,20,20,19,90,91,100,93,95.01969697,A
19,19,18,18,18,18,80,82,86,78.5,75.325,C+
20,20,20,20,20,20,99,100,97,93,97.335,A
15,19,19,20,17,18,50,88,76,65,71.60757576,C
0,17,19,12,18,0,90,60,65,63,65.60909091,D+
12,16,16,15,0,0,25,48,44,19,22.78939394,F
20,18,18,20,19,19,80,79,98,87.5,70.81439394,C
19,18,19.5,18,17,18,60,60,95,72.5,78.00757576,C+
20,18,19,20,20,19,70,76,85,90,62.04545455,D
20,19.5,19,20,20,19,90,100,100,96,97.04787879,A
20,20,20,20,20,19.5,90,92,100,97,95.39939394,A
18,20,20,20,18,18,99,88,94,97,93.47969697,A
7,6,10,20,18,17,90,9,83,85,54.4719697,F
17,17,0,19,12,15,80,50,68,50,61.75606061,D
20,20,19,20,19,18,90,26,30,51,47.10530303,F
0,18,16,19.5,19,16,85,27,85,93,72.99015152,C
8,19,17,20,20,19,80,24,95,87,58.48484849,F
18,19,19,20,20,18,75,95,82,94,87.18257576,B+
0,0,16,0,0,0,0,29,60,66,26.02121212,F
16,17,12,16,19,18,80,85,87,71,72.75833333,C
18,17,0,0,10,0,80,72,88,67,60.29469697,D
18,10,10,15,0,0,90,78,30,77,80.25606061,B
19,17,16,18,18,18,80,71,80,82,84.24469697,B
20,20,20,20,20,19,95,95,95,97,96.87515152,A
18,20,18,19,19,19,99,92,91,94,93.83272727,A
0,0,0,0,0,0,0,84,0,0,5.6,F
20,20,17,19,12,17,40,53,64,60,54.94469697,F
