Homework,Project,Quiz,Exam,Total,Final,Grade
98.33333333333334,95.0,97.5,100.0,98.5,98.93409091,A
81.16666666666667,0.0,95.0,96.0,79.175,79.27181818,C+
80.33333333333333,0.0,97.5,90.0,76.55,40.50818182,F
70.83333333333333,40.0,73.0,60.0,61.225,53.68181818,F
86.25,90.0,86.0,90.0,88.6375,88.50227273,B+
86.66666666666666,80.0,90.5,77.0,81.6,84.35227273,B
93.33333333333334,95.0,88.0,91.0,91.35,92.54090909,A
84.16666666666666,60.0,57.0,50.0,58.025,55.32272727,F
58.33333333333333,50.0,77.5,65.0,64.25,71.83636364,C
87.91666666666666,85.0,90.0,82.0,84.9375,88.45227273,B+
74.58333333333333,85.0,71.5,82.0,79.2375,74.00681818,C
54.16666666666667,80.0,59.0,55.0,59.425,60.48409091,D
87.5,90.0,83.5,74.0,80.325,83.24545455,B
98.91666666666667,70.0,97.5,89.0,89.3375,90.60863636,A
92.08333333333334,90.0,82.5,95.0,91.3125,91.40681818,A
59.16666666666667,50.0,23.5,24.0,33.075,34.15,F
69.16666666666667,60.0,27.5,25.0,37.375,29.6780303,F
99.16666666666666,95.0,97.0,96.0,96.525,98.16136364,A
22.5,0.0,92.0,74.0,58.775000000000006,60.42272727,D
98.16666666666666,95.0,98.5,96.0,96.675,97.42090909,A
18.333333333333332,0.0,41.0,0.0,10.950000000000001,9.036363636,F
67.5,0.0,81.5,51.0,51.925,32.07121212,F
88.33333333333334,80.0,82.5,89.0,86.25,79.80909091,C+
85.25,80.0,66.0,70.0,72.98750000000001,68.83909091,D+
92.83333333333333,50.0,87.5,86.0,81.925,83.62636364,B
69.58333333333333,78.0,71.0,88.0,80.3375,74.90454546,C
95.0,60.0,93.0,90.0,86.85,84.35,B
31.25,0.0,79.0,72.0,56.4875,31.42545455,F
40.83333333333333,75.0,16.0,40.0,40.575,34.09318182,F
55.83333333333333,0.0,55.0,42.0,40.375,34.03181818,F
90.83333333333334,80.0,79.5,82.0,82.525,82.48181818,B
85.0,75.0,72.5,73.0,75.0,64.45227273,D
78.33333333333333,80.0,50.0,79.0,73.25,80.42045455,B
25.0,95.0,83.0,68.0,68.6,77.85681818,C+
88.33333333333334,68.0,88.5,80.0,81.15,82.01515152,B
92.08333333333334,90.0,90.5,85.0,87.9125,87.57727273,B+
81.66666666666666,95.0,85.0,90.0,88.5,84.65909091,B
43.33333333333333,50.0,57.0,73.0,61.9,60.50681818,D
44.16666666666667,0.0,64.0,78.0,58.425,38.34090909,F
88.33333333333334,50.0,87.0,92.0,84.15,87.91590909,B+
95.0,90.0,95.5,94.0,93.85,95.82424242,A
90.41666666666666,80.0,78.5,80.0,81.2625,66.37651515,D+
95.83333333333334,85.0,75.0,91.0,87.625,81.95606061,B
85.0,40.0,59.0,42.0,51.55,63.41666667,D
91.25,85.0,79.0,92.5,88.4875,86.35151515,B+
88.33333333333334,85.0,82.5,92.5,88.75,89.71893939,B+
64.16666666666667,80.0,72.5,58.0,65.125,42.73636364,F
92.08333333333334,80.0,73.0,61.0,70.9125,75.82348485,C+
89.58333333333334,80.0,73.5,84.0,82.1375,72.53439394,C
74.16666666666667,70.0,65.5,68.0,68.725,66.83484849,D+
97.08333333333334,90.0,95.5,93.0,93.6625,95.01969697,A
91.66666666666666,80.0,84.0,78.5,81.8,75.325,C+
100.0,99.0,98.5,93.0,96.05000000000001,97.335,A
90.0,50.0,82.0,65.0,69.9,71.60757576,C
55.0,90.0,62.5,63.0,65.75,65.60909091,D+
49.16666666666667,25.0,46.0,19.0,29.825000000000003,22.78939394,F
95.0,80.0,88.5,87.5,87.7,70.81439394,C
91.25,60.0,77.5,72.5,74.4375,78.00757576,C+
96.66666666666666,70.0,80.5,90.0,86.1,62.04545455,D
97.91666666666666,90.0,100.0,96.0,96.1875,97.04787879,A
99.58333333333334,90.0,96.0,97.0,96.1375,95.39939394,A
95.0,99.0,91.0,97.0,95.8,93.47969697,A
65.0,90.0,46.0,85.0,74.95,54.4719697,F
66.66666666666667,80.0,59.0,50.0,58.8,61.75606061,D
96.66666666666666,90.0,28.0,51.0,59.1,47.10530303,F
73.75,85.0,56.0,93.0,81.5125,72.99015152,C
85.83333333333334,80.0,59.5,87.0,80.275,58.48484849,F
95.0,75.0,88.5,94.0,90.2,87.18257576,B+
13.333333333333332,0.0,44.5,66.0,43.9,26.02121212,F
81.66666666666666,80.0,86.0,71.0,76.95,72.75833333,C
37.5,80.0,80.0,67.0,67.125,60.29469697,D
44.16666666666667,90.0,54.0,77.0,69.425,80.25606061,B
88.33333333333334,80.0,75.5,82.0,81.35,84.24469697,B
99.16666666666666,95.0,95.0,97.0,96.625,96.87515152,A
94.16666666666666,99.0,91.5,94.0,94.275,93.83272727,A
0.0,0.0,42.0,0.0,8.4,5.6,F
87.5,40.0,58.5,60.0,60.825,54.94469697,F
88.33333333333334,80.0,71.5,76.5,77.8,62.7969697,D
82.5,80.0,69.5,78.0,77.275,58.62121212,F
97.08333333333334,90.0,100.0,90.0,93.0625,94.30151515,A
70.0,50.0,71.5,65.0,64.8,65.14393939,D+
90.0,90.0,83.0,96.0,91.6,82.88484849,B
89.58333333333334,20.0,75.5,81.0,72.0375,66.36666667,D+
94.58333333333334,80.0,97.0,97.0,94.0875,91.04181818,A
85.83333333333334,0.0,91.0,80.0,71.075,56.20454546,F
95.0,99.0,90.0,97.0,95.6,96.12757576,A
86.66666666666666,90.0,72.5,65.0,73.5,67.56363636,D+
91.25,50.0,68.5,67.0,68.3875,61.99393939,D
95.41666666666666,95.0,89.0,92.0,92.3625,86.51833333,B+
96.66666666666666,90.0,57.0,87.0,82.9,73.89393939,C
80.83333333333334,30.0,65.5,77.5,68.475,70.51287879,C
82.08333333333334,85.0,72.0,41.0,59.9625,49.22424242,F
87.5,80.0,83.0,72.0,77.725,62.76969697,D
90.0,90.0,93.0,90.5,90.85,92.3819697,A
87.5,90.0,84.5,77.0,82.025,69.92424242,C
95.0,90.0,95.5,94.0,93.85,95.82424242,A
90.41666666666666,80.0,78.5,80.0,81.2625,66.37651515,D+
95.83333333333334,85.0,75.0,91.0,87.625,81.95606061,B
85.0,40.0,59.0,42.0,51.55,63.41666667,D
91.25,85.0,79.0,92.5,88.4875,86.35151515,B+
88.33333333333334,85.0,82.5,92.5,88.75,89.71893939,B+
64.16666666666667,80.0,72.5,58.0,65.125,42.73636364,F
92.08333333333334,80.0,73.0,61.0,70.9125,75.82348485,C+
89.58333333333334,80.0,73.5,84.0,82.1375,72.53439394,C
74.16666666666667,70.0,65.5,68.0,68.725,66.83484849,D+
97.08333333333334,90.0,95.5,93.0,93.6625,95.01969697,A
91.66666666666666,80.0,84.0,78.5,81.8,75.325,C+
100.0,99.0,98.5,93.0,96.05000000000001,97.335,A
90.0,50.0,82.0,65.0,69.9,71.60757576,C
55.0,90.0,62.5,63.0,65.75,65.60909091,D+
49.16666666666667,25.0,46.0,19.0,29.825000000000003,22.78939394,F
95.0,80.0,88.5,87.5,87.7,70.81439394,C
91.25,60.0,77.5,72.5,74.4375,78.00757576,C+
96.66666666666666,70.0,80.5,90.0,86.1,62.04545455,D
97.91666666666666,90.0,100.0,96.0,96.1875,97.04787879,A
99.58333333333334,90.0,96.0,97.0,96.1375,95.39939394,A
95.0,99.0,91.0,97.0,95.8,93.47969697,A
65.0,90.0,46.0,85.0,74.95,54.4719697,F
66.66666666666667,80.0,59.0,50.0,58.8,61.75606061,D
96.66666666666666,90.0,28.0,51.0,59.1,47.10530303,F
73.75,85.0,56.0,93.0,81.5125,72.99015152,C
85.83333333333334,80.0,59.5,87.0,80.275,58.48484849,F
95.0,75.0,88.5,94.0,90.2,87.18257576,B+
13.333333333333332,0.0,44.5,66.0,43.9,26.02121212,F
81.66666666666666,80.0,86.0,71.0,76.95,72.75833333,C
37.5,80.0,80.0,67.0,67.125,60.29469697,D
44.16666666666667,90.0,54.0,77.0,69.425,80.25606061,B
88.33333333333334,80.0,75.5,82.0,81.35,84.24469697,B
99.16666666666666,95.0,95.0,97.0,96.625,96.87515152,A
94.16666666666666,99.0,91.5,94.0,94.275,93.83272727,A
0.0,0.0,42.0,0.0,8.4,5.6,F
87.5,40.0,58.5,60.0,60.825,54.94469697,F
88.33333333333334,80.0,71.5,76.5,77.8,62.7969697,D
82.5,80.0,69.5,78.0,77.275,58.62121212,F
97.08333333333334,90.0,100.0,90.0,93.0625,94.30151515,A
70.0,50.0,71.5,65.0,64.8,65.14393939,D+
90.0,90.0,83.0,96.0,91.6,82.88484849,B
89.58333333333334,20.0,75.5,81.0,72.0375,66.36666667,D+
94.58333333333334,80.0,97.0,97.0,94.0875,91.04181818,A
85.83333333333334,0.0,91.0,80.0,71.075,56.20454546,F
95.0,99.0,90.0,97.0,95.6,96.12757576,A
86.66666666666666,90.0,72.5,65.0,73.5,67.56363636,D+
91.25,50.0,68.5,67.0,68.3875,61.99393939,D
95.41666666666666,95.0,89.0,92.0,92.3625,86.51833333,B+
96.66666666666666,90.0,57.0,87.0,82.9,73.89393939,C
80.83333333333334,30.0,65.5,77.5,68.475,70.51287879,C
82.08333333333334,85.0,72.0,41.0,59.9625,49.22424242,F
87.5,80.0,83.0,72.0,77.725,62.76969697,D
90.0,90.0,93.0,90.5,90.85,92.3819697,A
87.5,90.0,84.5,77.0,82.025,69.92424242,C
